order_number,customer_name,product_name,product_category,price,order_date
1,Lucien Caplan,"New Barbarians, The (I nuovi barbari)",Drama,14902,2020-07-21
2,Abbi Ravens,Towelhead (a.k.a. Nothing is Private),Drama,16121,2022-04-27
3,Christine Hain,Head On,Drama,8298,2021-09-08
4,Kathryne Mouse,"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'",Comedy,10295,2021-12-10
5,Andria Mordanti,BloodRayne,Comedy,17035,2021-11-11
6,Birch Manson,Boys on the Side,Drama,3700,2022-11-09
7,Robinia Colthard,Chouga (Shuga),Drama,10579,2020-07-23
8,Magdalena Amsden,"Sapphires, The",Comedy,9025,2022-03-17
9,Mathe Struijs,House,Comedy,9270,2021-11-05
10,Kip Libbe,American Dreams in China,Documentary,17917,2022-01-16
11,Nelie Pexton,Frankenstein Conquers the World,Sci-Fi,11284,2023-07-08
12,Noe Trench,Broadcast News,Sci-Fi,2244,2021-01-21
13,Chic Comber,Star Wars Uncut: Director's Cut,Sci-Fi,12653,2020-09-27
14,Ceil Tharme,The Losers,Documentary,7550,2022-05-10
15,Maggi Nicklen,"Stars Fell on Henrietta, The",Drama,13389,2021-06-30
16,Leah Coston,"Battle of amfAR, The",Drama,7611,2021-01-01
17,Arielle Egentan,Doomsday Prophecy,Drama,1728,2022-09-02
18,Virginia Pledge,Human Traffic,Comedy,2148,2021-05-04
19,Kari Akess,End of the Line,Horror,10435,2020-09-06
20,Arin Keld,Friday the 13th,Horror,2060,2020-12-14
21,Valdemar Scotchmer,Fruitcake,Horror,9586,2022-12-30
22,Hewitt Philipard,Waterloo,Documentary,16636,2023-01-30
23,Fidelio Chart,Our Little Differences (Die feinen Unterschiede),Documentary,16337,2022-05-12
24,Rourke MacRannell,My Bollywood Bride,Horror,7067,2022-01-02
25,Tani Watkins,My Forbidden Past,Horror,4853,2023-01-17
26,Rutter Knoles,Any Wednesday (Bachelor Girl Apartment),Comedy,3982,2022-08-27
27,Basilius Guise,Cousin Angelica (La prima Angélica),Drama,11156,2020-04-11
28,Manfred O'Lochan,"Unfaithful, The",Drama,7431,2022-09-14
29,Annabela Hammerich,"Dragon Missile, The (Fei long zhan)",Drama,12758,2022-03-09
30,Margit Cabral,"Magnificent Seven Ride!, The",Drama,4025,2020-12-19
31,Joleen Kitchenside,"Jericho Mile, The",Documentary,16312,2020-10-04
32,Ailbert Iremonger,Kilometre Zero (Kilomètre zéro),Documentary,2151,2023-08-08
33,Gertruda Crilley,Around the World in 80 Days,Horror,16747,2020-12-20
34,Kayley Bellhouse,"Trans-Atlantic Tunnel (Tunnel, The)",Horror,3366,2021-09-30
35,Ola Esler,Evidence of Blood,Documentary,8758,2020-08-16
36,Emmit O'Tierney,"Song of Sparrows, The (Avaze gonjeshk-ha)",Documentary,11170,2022-01-11
37,Adolph Bark,Kanak Attack,Drama,17885,2021-12-30
38,Cleopatra MacKimmie,"Monster in Paris, A (Un monstre à Paris)",Sci-Fi,10290,2020-09-19
39,Emlynn Stambridge,Cry Baby Lane,Drama|Horror,8312,2020-02-04
40,Georgeanne Howkins,Fingersmith,Horror,13961,2021-04-13
41,Kore Ivanovic,Strange Circus (Kimyô na sâkasu),Horror,13257,2020-12-11
42,Stevie Dunsford,Army of One (Joshua Tree),Documentary,10376,2020-04-11
43,Cully Shearmur,"Monster That Challenged the World, The",Documentary,15694,2022-11-11
44,Aurora Odeson,Tabu,Comedy,8019,2020-10-01
45,Matteo Soper,7 Seconds,Comedy,16958,2022-05-16
46,Shannon Farnan,IMAX: Coral Reef Adventure,Comedy,6618,2023-01-26
47,Myrlene Kinahan,"Possession of David O'Reilly, The ",Horror,13876,2022-07-12
48,Freda Cowley,"Midnight (Primeiro Dia, O)",Drama,1071,2021-12-10
49,Melitta Grigsby,Listen to Britain,Horror,6130,2020-10-08
50,Licha Lambricht,"Bridge on the River Kwai, The",Horror,9315,2020-11-17
